id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2018-10-17T20:18:35;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2018-10-18T00:15:27;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2018-10-17T09:18:51;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2018-10-17T04:48:28;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2018-10-17T23:26:22;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2018-10-17T08:12:34;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2018-10-17T10:42:42;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2018-10-18T00:46:06;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2018-10-17T16:06:45;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2018-10-17T04:46:55;32637;8639
